,Susceptible,Exposed,Infected (symptomatic),Asymptomatically Infected,Recovered,Hospitalised,Critical,Deaths,New Exposure,New Deaths,Time
0,0.9999975,0.0,2.5000000000000006e-06,2.5000000000000006e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.9999937599940731,3.3020036751203665e-06,2.251508354980582e-06,2.251508354980582e-06,9.132086895981889e-07,2.1422129017614086e-08,3.013030249770748e-10,5.342005710674883e-11,3.7400059268999364e-06,5.342005710674883e-11,1.0
2,0.9999901020570134,5.811680433332805e-06,2.368454910208534e-06,2.368454910208534e-06,1.8081292961970758e-06,3.9888849594897803e-08,9.72995917195901e-10,3.6159101146314477e-10,3.6579370596978578e-06,3.0817095435639594e-10,2.0
3,0.9999860485773597,8.123444250931127e-06,2.7327772276297868e-06,2.7327772276297868e-06,2.8010523915673104e-06,5.847311764872973e-08,1.8401104105132947e-09,1.0583143368085365e-09,4.05347965359848e-06,6.967233253453918e-10,3.0
4,0.9999812464803037,1.0592169692415308e-05,3.2994828077897883e-06,3.2994828077897883e-06,3.978121101391066e-06,7.917955128803904e-08,2.8573328779436787e-09,2.2264025648795206e-09,4.802097056000321e-06,1.1680882280709842e-09,4.0
5,0.999975378823106,1.346346520694452e-05,4.0646735011256e-06,4.0646735011256e-06,5.41680755869567e-06,1.0357343362197603e-07,4.04054302852343e-09,3.9431493624671195e-09,5.8676571976779e-06,1.7167467975875988e-09,5.0
6,0.9999681128368112,1.694336761857999e-05,5.0501891528629055e-06,5.0501891528629055e-06,7.198549549809824e-06,1.3312851969896667e-07,5.436839236149422e-09,6.302355799828362e-09,7.2659862949131515e-06,2.3592064373612418e-09,6.0
7,0.999959064838025,2.1237948381615556e-05,6.296968766164943e-06,6.296968766164943e-06,9.41729842557346e-06,1.6943808067506753e-07,7.1130122758950515e-09,9.426542619546667e-09,9.04799878626017e-06,3.1241868197183058e-09,7.0
8,0.9999477715951872,2.6578587002327973e-05,7.863158539131968e-06,7.863158539131968e-06,1.2186507398285346e-05,2.1436454831774647e-07,9.152901383141354e-09,1.3475884214739562e-08,1.129324283771771e-05,4.049341595192894e-09,8.0
9,0.9999336622992745,3.3241200846055596e-05,9.82501664137167e-06,9.82501664137167e-06,1.564598204461117e-05,2.7016830198008983e-07,1.1659198861409024e-08,1.8657051308306605e-08,1.4109295912723141e-05,5.181167093567044e-09,9.0
10,0.9999160274780468,4.156398053852103e-05,1.2279713431216788e-05,1.2279713431216788e-05,1.996948421658954e-05,3.3963893146115304e-07,1.475777019179172e-08,2.5233634057597925e-08,1.763482122774107e-05,6.57658274929132e-09,10.0
11,0.9998939821484163,5.1966347196844636e-05,1.5349683907507454e-05,1.5349683907507454e-05,2.5373749448572364e-05,4.262441552962589e-07,1.86037781752971e-08,3.3539189746207576e-08,2.204532963040462e-05,8.305555688609648e-09,11.0
12,0.9998664207741943,6.497101102832151e-05,1.918850516126716e-05,1.918850516126716e-05,3.2129512922029574e-05,5.343082487845553e-07,2.3389509534500043e-08,4.399377449264821e-08,2.7561374222051516e-05,1.0454584746440638e-08,12.0
13,0.9998319614767698,8.123070966761769e-05,2.3988466852726353e-05,2.3988466852726353e-05,4.0575169709029514e-05,6.692311682681185e-07,2.935412487035533e-08,5.7124854946317984e-08,3.4459297424516144e-05,1.313108045366977e-08,13.0
14,0.999788876558376,0.00010156120150539257,2.9990149350115218e-05,2.9990149350115218e-05,5.113379150477434e-05,8.37760495449189e-07,3.6795757187731465e-08,7.359366098823988e-08,4.3084918393831995e-05,1.6468806041921892e-08,14.0
15,0.999735005796307,0.0001269822772093513,3.749445490338836e-05,3.749445490338836e-05,6.43343714369789e-05,1.0483303991031799e-06,4.608654674410946e-08,9.422829393527397e-08,5.387076206891939e-05,2.0634632947034095e-08,15.0
16,0.9996676481563411,0.00015876888304962048,4.687767444788626e-05,4.687767444788626e-05,8.083837024676917e-05,1.311484863146817e-06,5.769136424883744e-08,1.2006523926553544e-07,6.73576399658482e-05,2.5836945330261482e-08,16.0
17,0.9995834265382709,0.00019851490719266732,5.861032976346912e-05,5.861032976346912e-05,0.00010147289602762106,1.6404064634245416e-06,7.219116365459333e-08,1.5240135467665492e-07,8.422161807025708e-05,3.233611541111946e-08,17.0
18,0.9994781188685813,0.00024821276933979775,7.328071886489136e-05,7.328071886489136e-05,0.00012727217616650721,2.0515771155972375e-06,9.031213642759588e-08,1.9285893060539923e-07,0.00010530766968969152,4.045757592874432e-08,18.0
19,0.9993464472457312,0.00031035268989768793,9.162432166744003e-05,9.162432166744003e-05,0.00015952938817349828,2.565603662362688e-06,1.1296212517267114e-07,2.4346707515207944e-07,0.0001316716228501047,5.060814454668023e-08,19.0
20,0.9991818148603524,0.000388046419640013,0.00011456050363165243,0.00011456050363165243,0.00019986142395129612,3.2082491924579265e-06,1.4127611039401562e-07,3.0676349004336754e-07,0.00016463238537878233,6.329641489128811e-08,20.0
21,0.9989759779843506,0.000485181310768622,0.00014323829853905533,0.00014323829853905533,0.0002502897921332801,4.0117209249825575e-06,1.7667302649474392e-07,3.859217177503169e-07,0.0002058368760017304,7.915822770694937e-08,21.0
22,0.9987186373698487,0.0006066119327069604,0.00017909347013489387,0.00017909347013489387,0.0003133416425043458,5.0162777587410926e-06,2.2092671133070942e-07,4.84910200124055e-07,0.00025734061450199963,9.898848237373811e-08,22.0
23,0.9983969298387514,0.0007583980045314684,0.00022391955912207922,0.00022391955912207922,0.00039217585729342416,6.272235654267792e-06,2.7625447070189535e-07,6.086910544374075e-07,0.00032170753109717065,1.2378085431335255e-07,23.0
24,0.9979947966003115,0.0009480992433503715,0.00027995622970539917,0.00027995622970539917,0.0004907403335144037,7.842467426374576e-06,3.454275718648637e-07,7.634684144953046e-07,0.0004021332384399612,1.54777360057897e-07,24.0
25,0.9974921998541081,0.0011851398034531556,0.0003499989492594105,0.0003499989492594105,0.0006139680204692512,9.80551586374635e-06,4.3190899894845665e-07,9.569985877854579e-07,0.0005025967462033987,1.935301732901532e-07,25.0
26,0.9968641535172531,0.0014812572503394292,0.0004375348709558807,0.0004375348709558807,0.0007680210222555917,1.225946595258501e-05,5.400250414420732e-07,1.1989772457885928e-06,0.0006280463368549261,2.41978658003135e-07,26.0
27,0.9960795275535824,0.0018510533464259934,0.0005469107363910057,0.0005469107363910057,0.0009605941720300204,1.5326753888307696e-05,6.751787791079244e-07,1.5015225119181168e-06,0.0007846259636707376,3.02545266129524e-07,27.0
28,0.9950995786492194,0.002312666064154109,0.0006835396469291515,0.0006835396469291515,0.001201291972354146,1.916012783421595e-05,8.441153043756842e-07,1.8797772751972977e-06,0.0009799489043629817,3.7825476327918106e-07,28.0
29,0.9938761534359004,0.0028885837255613264,0.0008541546067376591,0.0008541546067376591,0.0015020956970497124,2.395001791786994e-05,1.0552506084894113e-06,2.35265948656614e-06,0.0012234252133189738,4.728822113688422e-07,29.0
30,0.9923495051472064,0.003606622212278545,0.0010671176968641012,0.0010671176968641012,0.001877940752765719,2.993361982624476e-05,1.3190784509580186e-06,2.9437957437583118e-06,0.0015266482886940325,5.911362571921717e-07,30.0
31,0.9904456622826574,0.00450108352341974,0.0013327943840877304,0.0013327943840877304,0.0023474280270201217,3.7406045247847624e-05,1.6486721930088903e-06,3.682681286220152e-06,0.0019038428645490324,7.388855424618402e-07,31.0
32,0.988073291459254,0.0056141065818315706,0.001664002441219074,0.001664002441219074,0.0029336967177026664,4.673393866703626e-05,2.060301392935135e-06,4.60611871336175e-06,0.0023723708234033025,9.234374271415988e-07,32.0
33,0.9851200107186413,0.006997206064425054,0.002076543678787013,0.002076543678787013,0.0036654896800367865,5.8371995285399345e-05,2.5741857032140814e-06,5.7599983340020625e-06,0.002953280740612796,1.1538796206403123e-06,33.0
34,0.9814481410427058,0.008712967707582639,0.0025898232650446752,0.0025898232650446752,0.0045784449888072965,7.28828250425115e-05,3.2154108534505182e-06,7.201494918810996e-06,0.003671869675935524,1.4414965848089325e-06,34.0
35,0.9768899427512592,0.010836822764079214,0.0032275545015216086,0.0032275545015216086,0.005716648110536285,9.096057020378288e-05,4.015032530832368e-06,9.001768347311208e-06,0.004558198291446602,1.8002734285002133e-06,35.0
36,0.9712424836924172,0.013458751788338535,0.004018534601463898,0.004018534601463898,0.007134476091474006,0.00011345856388248596,5.011392619637399e-06,1.1249268340101086e-05,0.005647459058841953,2.247499992789877e-06,36.0
