,Susceptible,Exposed,Infected (symptomatic),Asymptomatically Infected,Recovered,Hospitalised,Critical,Deaths,New Exposure,New Deaths,Time
0,0.9999975,0.0,2.5000000000000006e-06,2.5000000000000006e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.9999948100925398,7.015185368358898e-06,2.471993051909249e-06,2.471993051909249e-06,9.433081151457572e-07,2.1391267018181064e-08,4.91649268648393e-10,8.741767748530864e-11,7.92444992125385e-06,8.741767748530864e-11,1.0
2,0.999992241776416,1.401265525382425e-05,3.2154278811481283e-06,3.2154278811481283e-06,2.0367543259104325e-06,3.983081118538104e-08,1.5563238631855491e-09,5.848701023471514e-10,9.597787425946746e-06,4.974524248618427e-10,2.0
3,0.999989496063109,2.3544734447476784e-05,4.742803271744098e-06,4.742803271744098e-06,3.577363644652492e-06,5.907499446112336e-08,2.8576762650761666e-09,1.6819416968192168e-09,1.4149081900791114e-05,1.0970715944720656e-09,3.0
4,0.9999863625008274,3.819782007595501e-05,7.345454957282126e-06,7.345454957282126e-06,5.924485648446919e-06,8.285856670277061e-08,4.294723743705581e-09,3.464384653688294e-09,2.223251406603399e-05,1.7824429568690774e-09,4.0
5,0.9999826656679883,6.153536167287965e-05,1.1603785381672136e-05,1.1603785381672136e-05,9.608434293809628e-06,1.1601179156089387e-07,5.912215261224661e-09,6.00610400414634e-09,3.557546352687679e-05,2.5417193504580455e-09,5.0
6,0.999978234528079,9.906561679023258e-05,1.8500194637101225e-05,1.8500194637101225e-05,1.5464195790934334e-05,1.6567479117536696e-07,7.872946718451064e-09,9.433080706000362e-09,5.723388583305232e-05,3.426976701854021e-09,6.0
7,0.9999728831834492,0.0001595834221655815,2.963996846861143e-05,2.963996846861143e-05,2.4830549703464914e-05,2.429950018735035e-07,1.0472921192575804e-08,1.3984569701426247e-08,9.224817862501509e-05,4.551488995425886e-09,7.0
8,0.9999663970607691,0.0002572459282473201,4.7623286779387484e-05,4.7623286779387484e-05,3.98646824816325e-05,3.6574321165507283e-07,1.4196456020454876e-08,2.0091682729824396e-08,0.00014879585433917315,6.107113028398149e-09,8.0
9,0.9999585209912307,0.00041488246640191735,7.6651449964824e-05,7.6651449964824e-05,6.40473483102641e-05,5.624757494370022e-07,1.9820574872703895e-08,2.849525935614598e-08,0.0002400862905874684,8.403576626321583e-09,9.0
10,0.9999489000875381,0.0006693002287157954,0.00012350006898741167,0.00012350609109710998,0.00010299655288141879,8.792157608341464e-07,2.8591227359855275e-08,4.043259518458693e-08,0.00038742608401250427,1.1937335828440952e-08,10.0
11,0.9996892612574622,0.0009828310503770467,9.942776533822786e-05,0.00019511186570903932,0.00015530584003213912,1.1840034633568135e-06,4.0813247776918014e-08,5.771416208278754e-08,0.000769630812147931,1.728156689820061e-08,11.0
12,0.9994298015575331,0.0013777436866616454,0.00011788303753002935,0.00029296549153077014,0.00022459666411673722,1.4551724500136091e-06,5.375615279811917e-08,8.133742811102979e-08,0.0009372464598777772,2.362326602824224e-08,12.0
13,0.9991694949465577,0.001940606938833301,0.0001590644626447708,0.00042696682230178567,0.0003228129386675943,1.8114996291729018e-06,6.78958035613945e-08,1.116625115147265e-07,0.00122340376889343,3.032508340369672e-08,13.0
14,0.9989080040791378,0.0027486896601982107,0.00022260002701464355,0.0006139936256032292,0.00046303508174771405,2.326743750890711e-06,8.536514418143608e-08,1.4978478376382318e-07,0.0016382125090982492,3.812227224909665e-08,14.0
15,0.9986451581011008,0.003914369376030712,0.00033772742827828053,0.0008781057814273393,0.000664296451985827,3.1041801837651033e-06,1.0912984888289151e-07,1.9806286627962483e-07,0.0022392410333880028,4.827808251580169e-08,15.0
16,0.9983808115847305,0.005686594245966929,0.000589702430135381,0.0012587133726481882,0.000963994649101233,4.47743317897822e-06,1.4534779807905366e-07,2.6094408121283777e-07,0.0032059780122890196,6.288121493321294e-08,16.0
17,0.9981148076019862,0.008479916683502411,0.0010518597372695827,0.0018261861331614006,0.0014257482946097222,7.043515802603925e-06,2.0779162388139537e-07,3.4772902935634584e-07,0.004787421462088815,8.678494814350803e-08,17.0
18,0.9978469681496325,0.012906880088398926,0.001835313255749943,0.0026958646496672723,0.002148908013733842,1.1672373351088207e-05,3.200704488033437e-07,4.769681832385471e-07,0.007308125534534207,1.2923915388220123e-07,18.0
19,0.997577091108526,0.019881366833410175,0.003117019696213895,0.004048166147264621,0.003289909731123539,1.9683364104789058e-05,5.193750317824569e-07,6.821912799560432e-07,0.011257911918895445,2.052230967174961e-07,19.0
20,0.9973049483189735,0.03072664675728514,0.005168430334846086,0.006157375130248669,0.005093666140676955,3.3105044169715156e-05,8.635914815444013e-07,1.020320043042381e-06,0.017323759980322533,3.381287630863379e-07,20.0
21,0.997030283567066,0.04723240977543111,0.008389034439426932,0.009425300516488041,0.00793755195393209,5.5035906354962197e-05,1.4427624782739843e-06,1.5846722916539812e-06,0.02636125270765186,5.643522486116001e-07,21.0
22,0.9967528098893501,0.07152190269489643,0.013331023765563946,0.01440603323097369,0.012387663219393445,9.010421976929817e-05,2.396307456477689e-06,2.5250744011113878e-06,0.039199288486051434,9.404021094574063e-07,22.0
23,0.9964722065767809,0.10547531942370535,0.020681305055027625,0.021788034923592207,0.01925795436007309,0.000144952471988442,3.937296804708655e-06,4.078308140039208e-06,0.056113933326877065,1.553233738927821e-06,23.0
24,0.9961881154625324,0.14944692609896226,0.031141608564028107,0.032274308901699085,0.02964428184263985,0.0002285260530277294,6.3836596832886594e-06,6.612491443178951e-06,0.07589306577215202,2.534183303139743e-06,24.0
25,0.9959001369201135,0.20045395307169148,0.04514819741892856,0.0463021605776235,0.04488020597373771,0.0003517549466818745,1.019230820957039e-05,1.0688083055942298e-05,0.09490850476844516,4.075591612763347e-06,25.0
26,0.9956078250198275,0.25111042340233897,0.062462784735783525,0.06363415642007472,0.06635209427921586,0.0005261626998259089,1.5985175648369175e-05,1.7134558414983513e-05,0.1074615888913738,6.4464753590412125e-06,26.0
27,0.9953106824806813,0.29128200715286867,0.08186034914712124,0.08304597372676134,0.09516029994714695,0.0007613345951704984,2.454806921833079e-05,2.713424996292807e-05,0.10859961986069841,9.99969154794456e-06,27.0
28,0.9950081546001912,0.31262231118117895,0.10124576476407313,0.10244305862750441,0.13173218293440755,0.0010620455901729133,3.678084821656618e-05,4.2294210956395214e-05,0.10470777745577167,1.5159960993467144e-05,28.0
29,0.9946996228257159,0.31279833145016533,0.11827962130857236,0.11948646917355513,0.1755879654110353,0.0014264287157657674,5.35881730960897e-05,6.467834532350163e-05,0.10115003600396061,2.2384134367106405e-05,29.0
30,0.9943843973521853,0.30564528077991515,0.13114488100610122,0.1323595510259724,0.2254008070003395,0.0018460113110921534,7.572411155357739e-05,9.677225149526614e-05,0.09797804875528456,3.209390617176451e-05,30.0
31,0.9940617090135118,0.298945857332097,0.13898018863536316,0.140201262894029,0.2793072177044038,0.002307240692879832,0.00010362817709439062,0.0001413663038966517,0.09501192691695748,4.459405240138557e-05,31.0
32,0.9937307001991207,0.2926673551864137,0.14184391857968198,0.14307023618562972,0.3352940239749246,0.0027935260125376117,0.00013729921242053764,0.00020136439129437499,0.09195919783164275,5.9998087397723285e-05,32.0
33,0.9933904146510785,0.2864366092416186,0.1404642838702348,0.14169480557469413,0.39150719093593084,0.00328711283023485,0.00017624173979196878,0.00027954673341940494,0.08819927999231142,7.818234212502996e-05,33.0
34,0.9930397863492344,0.27963892311869276,0.13842636670414601,0.1396588031927391,0.44642442763563683,0.003770590680118877,0.0002194948358524391,0.0003783266343762084,0.08625368841805062,9.877990095680348e-05,34.0
35,0.9926776269791752,0.27246869212543556,0.1365213512462155,0.13775535744261425,0.49890917900214266,0.004228048863703367,0.0002657298296222915,0.0004995398363668209,0.08414868541437817,0.00012121320199061249,35.0
36,0.9923026120143552,0.26888515667106544,0.13474178758832533,0.13597706105615054,0.5481900738373551,0.004645908346396636,0.00031338921804630396,0.000644294297855431,0.07996963860284373,0.0001447544614886101,36.0
37,0.9919132653702923,0.2627477732770657,0.1329954219387267,0.13423169037459068,0.5938052296308387,0.005013438137308915,0.00036083678360160934,0.0008128934133349099,0.07954658547867116,0.00016859911547947886,37.0
38,0.9915079423283384,0.2567549518531672,0.13110679516901477,0.13234390164607956,0.6355368507078755,0.005322973112299059,0.00040649461679723316,0.0010048318460130655,0.07600432111935759,0.0001919384326781557,38.0
39,0.9910848103790499,0.2529963363834713,0.12873124229540656,0.12996884568816047,0.6733494135574115,0.005569874314298857,0.00044895181039671073,0.0012188532310598871,0.0753148949384049,0.00021402138504682174,39.0
40,0.9906418289916623,0.24563298244254222,0.12746576644910912,0.12870553079500857,0.7073369203469261,0.0057522918860443304,0.00048703845867777693,0.0014530536541661515,0.0714495261927866,0.00023420042310626427,40.0
41,0.9901767258128764,0.24320993537793617,0.12573088984596587,0.12697093467707746,0.7376804927971672,0.005870797072161307,0.000519865382923865,0.0017050134388580983,0.07145181107325466,0.00025195978469194673,41.0
42,0.9896869710184459,0.23656059596748605,0.12353163176783646,0.12477340319634214,0.7646156214111515,0.0059279449658858835,0.0005468342643894532,0.001971941143190299,0.06833972055891543,0.0002669277043322007,42.0
43,0.9891697501279589,0.23330593647283226,0.12239294993963906,0.123634761655012,0.7884076536622423,0.005927818375913458,0.0005676248776337071,0.0022508166013356116,0.0674258613438497,0.00027887545814531264,43.0
44,0.9886219318566558,0.22909420761167232,0.1198740436732774,0.12111726686035854,0.8093339687376746,0.0058755897622312795,0.0005821664956253739,0.002538523341668788,0.06610894152400174,0.000287706740333176,44.0
45,0.988040035704033,0.22141549298674065,0.11906679492181055,0.12030986147892787,0.8276714034820306,0.0057771253827241,0.000590599934571015,0.002831964112386158,0.06228757613198713,0.00029344077071737025,45.0
46,0.9874201936563672,0.2211143571320368,0.11676335810274271,0.1180076109200272,0.8436877123254352,0.005653641598062496,0.0005932355092521522,0.003128156236163763,0.06271041342529465,0.00029619212377760527,46.0
47,0.9867581091385236,0.2152919775277478,0.11565883127294131,0.11690274567215662,0.8576360648297287,0.0055329392908025805,0.0005905109607844288,0.0034243057584525762,0.06146116580021366,0.0002961495222888131,47.0
48,0.9860490151455719,0.20942247152676427,0.11408831799329211,0.11533326387310736,0.8697517881530886,0.005414666699033286,0.0005829520917116683,0.0037178611577665145,0.05824333389359146,0.0002935553993139382,48.0
