,Susceptible: 0-20,Exposed: 0-20,Infected (symptomatic): 0-20,Asymptomatically Infected: 0-20,Recovered: 0-20,Hospitalised: 0-20,Critical: 0-20,Deaths: 0-20,Susceptible: 20-40,Exposed: 20-40,Infected (symptomatic): 20-40,Asymptomatically Infected: 20-40,Recovered: 20-40,Hospitalised: 20-40,Critical: 20-40,Deaths: 20-40,Susceptible: 40+,Exposed: 40+,Infected (symptomatic): 40+,Asymptomatically Infected: 40+,Recovered: 40+,Hospitalised: 40+,Critical: 40+,Deaths: 40+,Time,Susceptible,Exposed,Infected (symptomatic),Asymptomatically Infected,Recovered,Hospitalised,Critical,Deaths,New Exposure,New Deaths
0,0.399999,0.0,1.0000000000000002e-06,1.0000000000000002e-06,0.0,0.0,0.0,0.0,0.399999,0.0,1.0000000000000002e-06,1.0000000000000002e-06,0.0,0.0,0.0,0.0,0.1999995,0.0,5.000000000000001e-07,5.000000000000001e-07,0.0,0.0,0.0,0.0,0.0,0.9999975,0.0,2.5000000000000006e-06,2.5000000000000006e-06,0.0,0.0,0.0,0.0,0.0,0.0
1,0.39999750402905143,1.3207724919571074e-06,9.006020425690111e-07,9.006020425690111e-07,3.736420482517318e-07,3.5118264271988927e-10,9.68812581161809e-13,1.7177385688821476e-13,0.39999750402905143,1.3207724919571074e-06,9.006020425690111e-07,9.006020425690111e-07,3.7047113918931044e-07,3.511826427198894e-09,9.688125811618092e-12,1.7177385688821478e-12,0.19999875201452572,6.603862459785537e-07,4.5030102128450556e-07,4.5030102128450556e-07,1.6909587767303538e-07,1.7559132135994463e-08,2.9064377434854264e-10,5.153215706646443e-11,1.0,0.9999937600726285,3.3019312298927687e-06,2.2515051064225276e-06,2.2515051064225276e-06,9.132090651140777e-07,2.1422141205913246e-08,3.0130071274132255e-10,5.342166949223479e-11,3.7399273714600056e-06,5.342166949223479e-11
2,0.39999604106349074,2.3244587819380765e-06,9.47369507293826e-07,9.47369507293826e-07,7.390805082484744e-07,6.539132135410147e-10,3.1286080945196975e-12,1.1626668652783318e-12,0.39999604106349074,2.3244587819380765e-06,9.47369507293826e-07,9.47369507293826e-07,7.331566678519672e-07,6.539132135410147e-09,3.128608094519699e-11,1.1626668652783324e-11,0.19999802053174537,1.1622293909690383e-06,4.73684753646913e-07,4.73684753646913e-07,3.358863132034974e-07,3.269566067705073e-08,9.385824283559092e-10,3.488000595834994e-10,2.0,0.9999901026587268,5.8111469548451915e-06,2.3684237682345653e-06,2.3684237682345653e-06,1.808123489303939e-06,3.9888706026001886e-08,9.729971173956258e-10,3.6158939510156106e-10,3.6574139017364615e-06,3.081677256093263e-10
3,0.39999442021998766,3.248717139424704e-06,1.0930542263959449e-06,1.0930542263959449e-06,1.1439865391470603e-06,9.585613148876563e-10,5.916730203495373e-12,3.40292505798229e-12,0.39999442021998766,3.248717139424704e-06,1.0930542263959449e-06,1.0930542263959449e-06,1.135275610415718e-06,9.585613148876562e-09,5.916730203495373e-11,3.4029250579822924e-11,0.19999721010999383,1.624358569712352e-06,5.465271131979724e-07,5.465271131979724e-07,5.217532477357784e-07,4.7928065744382806e-08,1.7750190610486112e-09,1.0208775173946867e-09,3.0,0.9999860505499691,8.12179284856176e-06,2.7326355659898622e-06,2.7326355659898622e-06,2.8010153972985565e-06,5.8472240208147024e-08,1.8401030932870602e-09,1.058309693032492e-09,4.052108757646167e-06,6.967202979309309e-10
4,0.3999925004820122,4.235366169933326e-06,1.3196275286103732e-06,1.3196275286103732e-06,1.62358244157902e-06,1.2979729174896648e-09,9.187396767576369e-12,7.158795392373886e-12,0.3999925004820122,4.235366169933326e-06,1.3196275286103732e-06,1.3196275286103732e-06,1.6117535695921734e-06,1.2979729174896642e-08,9.18739676757637e-11,7.158795392373889e-11,0.1999962502410061,2.117683084966663e-06,6.598137643051866e-07,6.598137643051866e-07,7.426458768218664e-07,6.489864587448323e-08,2.7562190302729103e-09,2.147638617712165e-09,4.0,0.9999812512050305,1.0588415424833315e-05,3.2990688215259327e-06,3.2990688215259327e-06,3.97798188799306e-06,7.917634796686954e-08,2.8572803947162503e-09,2.226385367028278e-09,4.799344938688499e-06,1.168075673995786e-09
5,0.3999901553848356,5.382457522289368e-06,1.6254869382260847e-06,1.6254869382260847e-06,2.209460316342115e-06,1.697779114660244e-09,1.299151985033005e-11,1.2678712701124089e-11,0.3999901553848356,5.382457522289368e-06,1.6254869382260847e-06,1.6254869382260847e-06,2.1939492722172096e-06,1.6977791146602435e-08,1.2991519850330046e-10,1.2678712701124085e-10,0.1999950776924178,2.691228761144684e-06,8.127434691130424e-07,8.127434691130424e-07,1.0130018573462147e-06,8.48889557330122e-08,3.897455955099015e-09,3.803613810337225e-09,5.0,0.999975388462089,1.345614380572342e-05,4.063717345565212e-06,4.063717345565212e-06,5.4164114459055395e-06,1.0356452599427488e-07,4.040362673452646e-09,3.943079650049589e-09,5.862742941453725e-06,1.7166942830213113e-09
6,0.39998725227872833,6.77212534543602e-06,2.0193075684249613e-06,2.0193075684249613e-06,2.9347609514784374e-06,2.182093618868398e-09,1.7480278450476073e-11,2.0264080078895795e-11,0.39998725227872833,6.77212534543602e-06,2.0193075684249613e-06,2.0193075684249613e-06,2.9147824096818573e-06,2.1820936188683974e-08,1.748027845047607e-10,2.0264080078895797e-10,0.19999362613936417,3.386062672718011e-06,1.0096537842124807e-06,1.0096537842124807e-06,1.3480624062256856e-06,1.091046809434199e-07,5.244083535142822e-09,6.0792240236687364e-09,6.0,0.9999681306968209,1.693031336359005e-05,5.048268921062403e-06,5.048268921062403e-06,7.197605767385981e-06,1.3310771075097227e-07,5.436366598098059e-09,6.30212890453659e-09,7.257765268109395e-06,2.3590492544870005e-09
7,0.39998363833655826,8.486417060236715e-06,2.5173735864838277e-06,2.5173735864838277e-06,3.837669061930909e-06,2.776970217525691e-09,2.2867930812716314e-11,3.030851874089858e-11,0.39998363833655826,8.486417060236715e-06,2.5173735864838277e-06,2.5173735864838277e-06,3.8121977419271947e-06,2.7769702175256898e-08,2.286793081271631e-10,3.030851874089858e-10,0.19999181916827913,4.243208530118357e-06,1.2586867932419138e-06,1.2586867932419138e-06,1.7654481585566246e-06,1.3884851087628454e-07,6.860379243814892e-09,9.09255562226957e-09,7.0,0.9999590958413956,2.1216042650591787e-05,6.293433966209569e-06,6.293433966209569e-06,9.415314962414728e-06,1.6939518326906713e-07,7.1119264827547715e-09,9.425949328419454e-09,9.03485542524951e-06,3.1238204238828643e-09
8,0.39997912920669143,1.0617319189250941e-05,3.142819987998392e-06,3.142819987998392e-06,4.964248555175654e-06,3.5128384350915997e-09,2.942341960651301e-11,4.3326365808715074e-11,0.39997912920669143,1.0617319189250941e-05,3.142819987998392e-06,3.142819987998392e-06,4.9319782611910925e-06,3.512838435091599e-08,2.942341960651301e-10,4.332636580871507e-10,0.19998956460334572,5.3086595946254706e-06,1.571409993999196e-06,1.571409993999196e-06,2.286450214318931e-06,1.7564192175457997e-07,8.827025881953902e-09,1.2997909742614516e-08,8.0,0.9999478230167286,2.6543297973127353e-05,7.85704996999598e-06,7.85704996999598e-06,1.2182677030685678e-05,2.1428314454058755e-07,9.150683497625545e-09,1.3474499766510383e-08,1.1272824667063475e-05,4.048550438090929e-09
9,0.39997349788744624,1.3274424160064768e-05,3.925970533103627e-06,3.925970533103627e-06,6.3712232627083414e-06,4.426607918263166e-09,3.7475885470504764e-11,5.998108499619048e-11,0.39997349788744624,1.3274424160064768e-05,3.925970533103627e-06,3.925970533103627e-06,6.330506678709772e-06,4.426607918263166e-08,3.747588547050476e-10,5.998108499619048e-10,0.19998674894372312,6.637212080032385e-06,1.9629852665518134e-06,1.9629852665518134e-06,2.9373061767453667e-06,2.213303959131583e-07,1.124276564115143e-08,1.799432549885714e-08,9.0,0.9999337447186156,3.318606040016192e-05,9.814926332759066e-06,9.814926332759066e-06,1.563903611816348e-05,2.700230830140531e-07,1.1655000381326983e-08,1.8654117433815233e-08,1.4078298112951693e-05,5.1796176673048505e-09
