,Susceptible,Exposed,Infected (symptomatic),Asymptomatically Infected,Recovered,Hospitalised,Critical,Deaths,New Exposure,New Deaths,Time
0,0.9999974999999999,0.0,2.5000000000000006e-06,2.5000000000000006e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.9999919021094497,1.7066303519370355e-06,2.1534429653304075e-06,2.1534429653304075e-06,8.998615481690231e-07,2.1098960162598565e-08,2.9888745416025526e-10,5.317129458111632e-11,1.9348288497450515e-06,5.317129458111632e-11,1.0
2,0.9999859931021264,2.8711360234338044e-06,2.028304494714797e-06,2.028304494714797e-06,1.713046138068441e-06,3.766124293926139e-08,9.420031460642976e-10,3.549337489048336e-10,1.7449204810338069e-06,3.0176245432371727e-10,2.0
3,0.9999786954305598,3.7420551479605974e-06,2.0388393101305705e-06,2.0388393101305705e-06,2.5073511193373005e-06,5.181309612779733e-08,1.7113060810878158e-09,1.0155639330974523e-09,1.7018755229747383e-06,6.606301841926187e-10,3.0
4,0.9999690421728157,4.464785988322323e-06,2.1364281663533443e-06,2.1364281663533443e-06,3.325171321477084e-06,6.483360594044136e-08,2.5153832000019317e-09,2.0717239703170327e-09,1.7506095019631517e-06,1.0561600372195804e-09,4.0
5,0.9999559420880395,5.125471913597149e-06,2.293955440294187e-06,2.293955440294187e-06,4.194601571497654e-06,7.75152181860228e-08,3.3236690856237036e-09,3.5315096267727525e-09,1.8601204068824373e-06,1.4597856564557198e-09,5.0
6,0.9999380047064584,5.7762997426491425e-06,2.4968199998375925e-06,2.4968199998375925e-06,5.13587058427975e-06,9.037208449944498e-08,4.133447734056094e-09,5.395578207659281e-09,2.0133566746433074e-06,1.8640685808865284e-09,6.0
7,0.9999133685403945,6.45015665829793e-06,2.7377462990701263e-06,2.7377462990701263e-06,6.165104320365957e-06,1.0376124965525291e-07,4.953579869936145e-09,7.666648152267944e-09,2.2014236172485104e-06,2.2710699446086635e-09,7.0
8,0.9998794967967228,7.169098106575816e-06,3.013808793937806e-06,3.013808793937806e-06,7.2965400606006535e-06,1.179531424163881e-07,5.797148177418215e-09,1.03530708820809e-08,2.4202240620552206e-06,2.6864227298129557e-09,8.0
9,0.9998329106322166,7.949265988099576e-06,3.324728007377586e-06,3.324728007377586e-06,8.543855160465584e-06,1.3317297838327854e-07,6.678169831888959e-09,1.3470073596036903e-08,2.6685392685549257e-06,3.117002713956002e-09,9.0
10,0.9997688194383548,8.80373452568257e-06,3.6719086837522137e-06,3.6719122563912157e-06,9.921247424342606e-06,1.49625194799077e-07,7.610522512209232e-09,1.703983092614e-08,2.947180053136655e-06,3.569757330103098e-09,10.0
11,0.9994456903011738,9.22767911778813e-06,1.769444282261039e-06,4.035374134664905e-06,0.0002637176314023644,1.5508668006816812e-07,8.48070666406323e-09,2.1074209406211463e-08,0.0002526916920949723,4.03437848007146e-09,11.0
12,0.9991138610762782,9.286756181639267e-06,1.2078419744595e-06,4.353807085449656e-06,0.000516277653349062,1.499599976064732e-07,8.972740978206911e-09,2.545476293529484e-08,0.000252375675558858,4.380553529083379e-09,12.0
13,0.9987639026557982,9.322723022775904e-06,1.0411562037103048e-06,4.6185022623416625e-06,0.0007685079268064395,1.4248519587402107e-07,9.102398329331676e-09,2.9986172468468866e-08,0.0002523614359698084,4.531409533174025e-09,13.0
14,0.998390040132639,9.406781904102596e-06,9.955410208013573e-07,4.841916710289358e-06,0.001020673215876704,1.350272110093901e-07,8.991440584268905e-09,3.451720093568642e-08,0.0002524241093022877,4.531028467217555e-09,14.0
15,0.9979865000214077,9.542076955249852e-06,9.902024052087498e-07,5.037430987461295e-06,0.0012728532680667756,1.282429605646978e-07,8.74562275156211e-09,3.895533390599176e-08,0.0002525029309676796,4.4381329703053385e-09,15.0
16,0.9975464083478784,9.718306707319218e-06,1.0002956749805255e-06,5.215334852153424e-06,0.001525074051551016,1.2228429814079843e-07,8.437469687841152e-09,4.325258624031601e-08,0.00025258304080760796,4.297252334324253e-09,16.0
17,0.9970612888985927,9.925235263916913e-06,1.0175469125066127e-06,5.382837470957424e-06,0.0017773455129233761,1.1714993152604957e-07,8.112326640250389e-09,4.739007410319124e-08,0.0002526618217633808,4.137487862875227e-09,17.0
18,0.9965206518140094,1.0155189308892012e-05,1.0388485067630514e-06,5.544828310868117e-06,0.0020296725542575432,1.1279116490592865e-07,7.796912798229526e-09,5.136660262257733e-08,0.00025273959016145766,3.976528519386087e-09,18.0
19,0.9959115326355956,1.0402918812337316e-05,1.0628043407428029e-06,5.704587766017657e-06,0.002282058385459157,1.0914604492112889e-07,7.505990577091228e-09,5.519111737401386e-08,0.0002528171644666399,3.824514751436535e-09,19.0
20,0.9952179332446855,1.0664963896664029e-05,1.0886886362871756e-06,5.864318244081599e-06,0.0025345055528258817,1.0615078385326281e-07,7.2469307923396215e-09,5.887793122985232e-08,0.00025289525971775305,3.6868138558384587e-09,20.0
21,0.9944201374674024,1.0939100670097314e-05,1.1160935181916147e-06,6.0255063208737765e-06,0.0027870162982473017,1.0374403055335951e-07,7.022613875918581e-09,6.244384921342703e-08,0.0002529744100013914,3.5659179835747257e-09,21.0
22,0.9934938764445965,1.1223938738449395e-05,1.1447626304040908e-06,6.1891692978244145e-06,0.003039592733828566,1.0186883693636426e-07,6.833311055975113e-09,6.590639376679749e-08,0.00025305500378701993,3.462544553370439e-09,22.0
