,Susceptible: 0-20,Exposed: 0-20,Infected (symptomatic): 0-20,Asymptomatically Infected: 0-20,Recovered: 0-20,Hospitalised: 0-20,Critical: 0-20,Deaths: 0-20,Susceptible: 20-40,Exposed: 20-40,Infected (symptomatic): 20-40,Asymptomatically Infected: 20-40,Recovered: 20-40,Hospitalised: 20-40,Critical: 20-40,Deaths: 20-40,Susceptible: 40+,Exposed: 40+,Infected (symptomatic): 40+,Asymptomatically Infected: 40+,Recovered: 40+,Hospitalised: 40+,Critical: 40+,Deaths: 40+,Time,Susceptible,Exposed,Infected (symptomatic),Asymptomatically Infected,Recovered,Hospitalised,Critical,Deaths,New Exposure,New Deaths,R0
0,0.39998,0.0,2e-05,2e-05,0.0,0.0,0.0,0.0,0.39998,0.0,2e-05,2e-05,0.0,0.0,0.0,0.0,0.19999,0.0,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.99995,0.0,5e-05,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0000000000000004
1,0.3999684598280171,1.0177569159762493e-05,1.7011212946440185e-05,1.7011212946440185e-05,7.3332660175465535e-06,6.888319869360937e-09,1.9178068228394624e-11,3.4147848170065495e-12,0.3999623448649316,1.557255574986712e-05,1.734760903123618e-05,1.734760903123618e-05,7.3177943640485764e-06,6.934022235229106e-08,1.9245167042964902e-10,3.421783991140174e-11,0.19998637663188373,3.1957878715653916e-06,8.387073282281388e-06,8.387073282281388e-06,3.2993605622832055e-06,3.4280286764905583e-07,9.565331490452622e-09,1.7049186906896816e-09,1.0,0.9999171813248324,2.8945912781195004e-05,4.274589525995775e-05,4.274589525995775e-05,1.7950420943878335e-05,4.190314098707078e-07,9.776961229110666e-09,1.7425513154180899e-09,3.2818675167578526e-05,1.7425513154180899e-09,2.0000000000000004
2,0.39995818855276716,1.699963271520888e-05,1.5503508683028324e-05,1.5503508683028324e-05,1.3792564446327451e-05,1.214996357154096e-08,6.003536984985479e-11,2.2706309151996903e-11,0.39994644858062367,2.6174956900577768e-05,1.6621984970571606e-05,1.6621984970571606e-05,1.400708421250312e-05,1.2457060604764111e-07,6.088178554094055e-10,2.2889810946635752e-10,0.1999831295364637,5.3578447103163265e-06,7.36252681934764e-06,7.36252681934764e-06,6.149817436754037e-06,5.967389823235827e-07,2.9720233939330182e-08,1.1288534262869543e-08,2.0,0.9998877666698546,4.853243432610297e-05,3.948802047294757e-05,3.948802047294757e-05,3.394946609558461e-05,7.334595519427648e-07,3.038908716458944e-08,1.1540138681487897e-08,2.9414654977855115e-05,9.797587366069808e-09,2.0000000000000004
3,0.3999483865413619,2.190886169431618e-05,1.4919708839676923e-05,1.4919708839676923e-05,1.9848589900012915e-05,1.641695300329918e-08,1.0784643176121663e-10,6.456488129028784e-11,0.3999309893025009,3.4064185846572924e-05,1.7054313317966803e-05,1.7054313317966803e-05,2.066313244746806e-05,1.729827646931576e-07,1.1126266248726178e-09,6.571776486868902e-10,0.1999799953724902,6.945481689008008e-06,6.731757725727559e-06,6.731757725727559e-06,8.720679182119453e-06,7.903393375360921e-07,5.273299823946917e-08,3.187885146024791e-08,3.0,0.999859371216353,6.291852922989711e-05,3.8705779883371285e-05,3.8705779883371285e-05,4.923240152960043e-05,9.79739055232549e-07,5.3953471296103006e-08,3.260059399022509e-08,2.83954535015285e-05,2.1060455308737197e-08,2.0000000000000004
4,0.3999385530794406,2.5767311390004408e-05,1.4930198178050133e-05,1.4930198178050133e-05,2.579884119055812e-05,2.008490741854351e-08,1.5610918295283493e-10,1.3060608678230956e-10,0.39991514763808855,4.055857523892903e-05,1.8211047495107703e-05,1.8211047495107703e-05,2.764987513958934e-05,2.1882178604557282e-07,1.6481477514015166e-09,1.3466087874067015e-09,0.19997680968580836,8.229923916991487e-06,6.375506954399701e-06,6.375506954399701e-06,1.1127391643804125e-05,9.43031807524756e-07,7.505779612802278e-08,6.389511840257308e-08,4.0,0.9998305104033375,7.455581054592493e-05,3.951675262755754e-05,3.951675262755754e-05,6.457610797395158e-05,1.1819385009888724e-06,7.686205306237713e-08,6.537233327676209e-08,2.8860813015563203e-05,3.2771739286536995e-08,2.0000000000000004
5,0.39992836053050235,2.909493087746371e-05,1.5341076747884043e-05,1.5341076747884043e-05,3.18385551442592e-05,2.3407221887855267e-08,2.0241900700062448e-10,2.2033915482205592e-10,0.39989839003213556,4.643487501116232e-05,1.9852125229345715e-05,1.9852125229345715e-05,3.520172950258955e-05,2.6460786386730664e-07,2.197478898843096e-09,2.3075491050219323e-09,0.19997346456105788,9.372951620699676e-06,6.21990671918821e-06,6.21990671918821e-06,1.3452330967183722e-05,1.0684184434499457e-06,9.533458422594336e-08,1.0658988820217318e-07,5.0,0.9998002151236959,8.49027575093257e-05,4.141310869641797e-05,4.141310869641797e-05,8.049261561403246e-05,1.3564335292051076e-06,9.773448213178709e-08,1.0911777646201717e-07,3.029527964160117e-05,4.3745443185255083e-08,2.0000000000000004
6,0.3999175801745963,3.221014429319009e-05,1.6039720964140466e-05,1.6039720964140466e-05,3.810310876449465e-05,2.655147974315938e-08,2.4631870501537553e-10,3.326192669371435e-10,0.3998803425990305,5.215844597681771e-05,2.184918287845021e-05,2.184918287845021e-05,4.348238816703797e-05,3.118955515963873e-07,2.7593679587152865e-09,3.5461490793015356e-09,0.19996988390113032,1.0472740802173139e-05,6.2187667309521394e-06,6.2187667309521394e-06,1.5757384321798034e-05,1.176298107105373e-06,1.1330019181131495e-07,1.5884198491761544e-07,6.0,0.9997678066747571,9.484133107218094e-05,4.4107670573542816e-05,4.4107670573542816e-05,9.734288125333065e-05,1.5147451384449199e-06,1.1630587847504561e-07,1.6272075326385412e-07,3.240844893881434e-05,5.360297680183695e-08,2.0000000000000004
7,0.3999060382824063,3.531294039853736e-05,1.6962437890245797e-05,1.6962437890245797e-05,4.469351347055834e-05,2.9633420016017886e-08,2.882046361559096e-10,4.663194337754106e-10,0.3998607173495798,5.80168045903226e-05,2.4138437754313746e-05,2.4138437754313746e-05,5.2618851746519774e-05,3.617095678345178e-07,3.3391371906472595e-09,5.069869578188413e-09,0.19996600892979402,1.1590640894824977e-05,6.343035478347895e-06,6.343035478347895e-06,1.809167211506683e-05,1.2739366434396082e-06,1.2920456462431766e-07,2.1954503138149057e-07,7.0,0.9997327645617801,0.00010492038588368493,4.744391112290744e-05,4.744391112290744e-05,0.00011540403733214494,1.6652796312901438e-06,1.328319064511208e-07,2.2508122039345438e-07,3.504211297700177e-05,6.236046712960026e-08,2.0000000000000004
8,0.3998935900688284,3.8533819585001786e-05,1.8075325878367777e-05,1.8075325878367777e-05,5.169177302696673e-05,3.273739979713742e-08,3.2879643923787084e-10,6.206065623935329e-10,0.39983926906366696,6.419661732527344e-05,2.6693804043063016e-05,2.6693804043063016e-05,6.272108428608489e-05,4.147929262943147e-07,3.944225048005637e-09,6.889484098041255e-09,0.19996178968266223,1.2766750993991174e-05,6.574525232911822e-06,6.574525232911822e-06,2.0496351517791832e-05,1.366877132650447e-06,1.4350819161803896e-07,2.877790359576351e-07,8.0,0.9996946488151576,0.0001154971879042664,5.1343655154342615e-05,5.1343655154342615e-05,0.00013490920883084347,1.8144074587418991e-06,1.4778121310528246e-07,2.952891266180699e-07,3.811574662249129e-05,7.02079062246155e-08,2.0000000000000004
9,0.39988010395100015,4.196294267356344e-05,1.936285552554536e-05,1.936285552554536e-05,5.917030244897158e-05,3.5928901463034374e-08,3.6889165108887886e-10,7.950330395156633e-10,0.3998157695854339,7.082849935595232e-05,2.9511494243344923e-05,2.9511494243344923e-05,7.389357530185217e-05,4.7174942953123023e-07,4.582384721108301e-09,9.019607163964422e-09,0.19995717990981132,1.4029080965801374e-05,6.90211913490269e-06,6.90211913490269e-06,2.3007696467442842e-05,1.4594718761253185e-06,1.5672973434996655e-07,3.6287287524555847e-07,9.0,0.9996530534462454,0.00012682052299531712,5.5776468903792974e-05,5.5776468903792974e-05,0.00015607157421826658,1.967150207119583e-06,1.6168101072216373e-07,3.7268751544903855e-07,4.159536891212845e-05,7.739838883096867e-08,2.0000000000000004
